facade,delegated_module,symbol,ownership,caller_count,callers
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,STATUS_OK,explicit_compat_export,1,tests/test_professional_governed_atomic_flow_executor.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,STATUS_UNSUPPORTED,explicit_compat_export,1,tests/test_professional_governed_atomic_flow_executor.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_DEFERRED_FLOW_IDS,explicit_compat_export,1,tests/test_professional_atomic_flow_boundaries.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_ORIGINAL_BUILD_DERIVED_CELL,facade_local,1,tests/test_derived_metric_executor.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_annual_formula_spec,explicit_compat_export,1,tests/test_legacy_derived_formula_compatibility.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_base,facade_local,1,tests/test_governed_authority_boundaries.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_build_annual_debt_activity_companion_cell,explicit_compat_export,1,tests/test_professional_debt_activity_contract.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_build_annual_debt_stock_companion_cell,explicit_compat_export,1,tests/test_professional_debt_position_contract.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_build_annual_formula_cell,explicit_compat_export,2,tests/test_derived_metric_executor.py;tests/test_legacy_derived_formula_compatibility.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_build_debt_activity_cell,explicit_compat_export,2,tests/test_professional_debt_activity_contract.py;tests/test_professional_debt_position_contract.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_build_debt_position_cell,explicit_compat_export,1,tests/test_professional_debt_position_contract.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_build_derived_cell,facade_local,5,tests/test_cash_position_governed.py;tests/test_derived_metric_executor.py;tests/test_governed_authority_boundaries.py;tests/test_legacy_derived_formula_compatibility.py;tests/test_professional_governed_atomic_flow_executor.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_cash_bridge_line_spec,explicit_compat_export,1,tests/test_semantic_measure_authorities.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_execute_governed_derived_flow,explicit_compat_export,2,tests/test_professional_atomic_flow_reachability.py;tests/test_professional_governed_atomic_flow_executor.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_fx_treasury_measure_for_row,facade_local,2,tests/test_professional_fx_measure_resolver.py;tests/test_semantic_measure_authorities.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_governed_flow_resolution,explicit_compat_export,3,tests/test_professional_atomic_flow_boundaries.py;tests/test_professional_atomic_flow_reachability.py;tests/test_professional_governed_atomic_flow_executor.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_safe_div,explicit_compat_export,1,tests/test_legacy_derived_formula_compatibility.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_semantic_filter_for_statement_line,explicit_compat_export,2,tests/test_professional_atomic_measure_contract.py;tests/test_semantic_measure_authorities.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,_spec_for_cell,explicit_compat_export,3,tests/test_professional_atomic_flow_boundaries.py;tests/test_professional_atomic_flow_reachability.py;tests/test_professional_governed_atomic_flow_executor.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,build_professional_flow_drilldowns,facade_local,5,tests/test_derived_metric_executor.py;tests/test_professional_debt_activity_integration.py;tests/test_professional_debt_position_integration.py;tests/test_professional_drilldowns.py;tests/test_professional_scope_currency_reconciliation.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,row_context_id,explicit_compat_export,1,accounting/professional/render_linked_digest.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,DEFAULT_TOLERANCE,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,FX_MEASURES,facade_local,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,FX_TREASURY_TABLE_IDS,facade_local,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,INDEX_FILENAME,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,STATUS_OK,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,STATUS_UNSUPPORTED,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_ORIGINAL_SPEC_FOR_CELL,facade_local,1,tests/test_governed_authority_boundaries.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_annual_formula_spec,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_build_annual_formula_cell,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_build_derived_cell,facade_local,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_cash_bridge_line_spec,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_fx_treasury_measure_for_row,facade_local,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_legacy,facade_local,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_safe_div,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,_semantic_filter_for_statement_line,explicit_compat_export,1,accounting/professional/drilldown.py
accounting.professional.drilldown_wave4_base,accounting.professional.drilldown_legacy,row_context_id,explicit_compat_export,1,accounting/professional/drilldown.py
