facade,delegated_module,symbol,ownership,caller_count,callers
accounting.metrics.annual,accounting.metrics.annual_legacy,ANNUAL_CONTRACT_COLUMNS,explicit_compat_export,1,scripts/check_contracts.py
accounting.metrics.annual,accounting.metrics.annual_legacy,ANNUAL_METRICS_COLUMNS,explicit_compat_export,1,scripts/check_contracts.py
accounting.metrics.annual,accounting.metrics.annual_legacy,QA_COLUMNS,explicit_compat_export,1,scripts/check_contracts.py
accounting.metrics.annual,accounting.metrics.annual_legacy,build_annual_balance_dashboard,facade_local,6,accounting/metrics/build.py;tests/test_annual_metric_semantics.py;tests/test_cash_position_governed.py;tests/test_scoped_ingest.py;tests/test_semantic_funding_dimensions.py;tests/test_semantic_measure_authorities.py
accounting.metrics.frontier,accounting.metrics.frontier_legacy,build_metrics_frontier,facade_local,2,accounting/metrics/build.py;tests/test_cash_position_governed.py
accounting.professional.annual_dashboard_tables,accounting.professional.annual_dashboard_tables_legacy,build_annual_cash_close_by_box,facade_local,2,tests/test_annual_dashboard_tables.py;tests/test_cash_position_governed.py
accounting.professional.annual_dashboard_tables,accounting.professional.annual_dashboard_tables_legacy,build_annual_debt_activity_by_pair,explicit_compat_export,1,tests/test_annual_dashboard_tables.py
accounting.professional.annual_dashboard_tables,accounting.professional.annual_dashboard_tables_legacy,build_annual_debt_stock_by_pair,explicit_compat_export,1,tests/test_annual_dashboard_tables.py
accounting.professional.annual_dashboard_tables,accounting.professional.annual_dashboard_tables_legacy,build_annual_funding_by_actor_channel,facade_local,1,tests/test_annual_dashboard_tables.py
accounting.professional.annual_dashboard_tables,accounting.professional.annual_dashboard_tables_legacy,write_annual_long_and_wide,explicit_compat_export,1,tests/test_annual_dashboard_tables.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,DEFAULT_TOLERANCE,explicit_compat_export,1,accounting/professional/render_linked_digest.py
accounting.professional.drilldown,accounting.professional.drilldown_wave4_base,INDEX_FILENAME,explicit_compat_export,1,accounting/professional/render_linked_digest.py
